title,console,brand,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,eu_sales,pal_sales,other_sales,release_date,decade
Wii Sports,Wii,Nintendo,Sports,Nintendo,Unknown,,82.74,41.49,3.77,29.02,0.0,8.46,2006,2000
Super Mario Bros.,NES,Nintendo,Platform,Nintendo,Unknown,,40.24,29.08,6.81,3.58,0.0,0.77,1985,1980
Mario Kart Wii,Wii,Nintendo,Racing,Nintendo,Unknown,,35.82,15.85,3.79,12.88,0.0,3.31,2008,2000
Wii Sports Resort,Wii,Nintendo,Sports,Nintendo,Unknown,,33.0,15.75,3.28,11.01,0.0,2.96,2009,2000
Pokemon Red/Pokemon Blue,GB,Nintendo,Role-Playing,Nintendo,Unknown,,31.37,11.27,10.22,8.89,0.0,1.0,1996,1990
Tetris,GB,Nintendo,Puzzle,Nintendo,Unknown,,30.26,23.2,4.22,2.26,0.0,0.58,1989,1980
New Super Mario Bros.,DS,Nintendo,Platform,Nintendo,Unknown,,30.01,11.38,6.5,9.23,0.0,2.9,2006,2000
Wii Play,Wii,Nintendo,Misc,Nintendo,Unknown,,29.02,14.03,2.93,9.2,0.0,2.85,2006,2000
New Super Mario Bros. Wii,Wii,Nintendo,Platform,Nintendo,Unknown,,28.62,14.59,4.7,7.06,0.0,2.26,2009,2000
Duck Hunt,NES,Nintendo,Shooter,Nintendo,Unknown,,28.31,26.93,0.28,0.63,0.0,0.47,1984,1980
Nintendogs,DS,Nintendo,Simulation,Nintendo,Unknown,,24.76,9.07,1.93,11.0,0.0,2.75,2005,2000
Mario Kart DS,DS,Nintendo,Racing,Nintendo,Unknown,,23.42,9.81,4.13,7.57,0.0,1.92,2005,2000
Pokemon Gold/Pokemon Silver,GB,Nintendo,Role-Playing,Nintendo,Unknown,,23.1,9.0,7.2,6.18,0.0,0.71,1999,1990
Wii Fit,Wii,Nintendo,Sports,Nintendo,Unknown,,22.72,8.94,3.6,8.03,0.0,2.15,2007,2000
Wii Fit Plus,Wii,Nintendo,Sports,Nintendo,Unknown,,22.0,9.09,2.53,8.59,0.0,1.79,2009,2000
Kinect Adventures!,X360,Microsoft,Misc,Microsoft Game Studios,Unknown,,21.82,14.97,0.24,4.94,0.0,1.67,2010,2010
Grand Theft Auto V,PS3,Sony,Action,Take-Two Interactive,Unknown,,21.4,7.01,0.97,9.27,0.0,4.14,2013,2010
Grand Theft Auto: San Andreas,PS2,Sony,Action,Take-Two Interactive,Unknown,,20.81,9.43,0.41,0.4,0.0,10.57,2004,2000
Super Mario World,SNES,Nintendo,Platform,Nintendo,Unknown,,20.61,12.78,3.54,3.75,0.0,0.55,1990,1990
